X,Y,NAME,ST,POPULATION
-86.84186383,39.64308853,Greencastle,IN,10690
-85.77342069,39.79457,Greenfield,IN,22283
-85.50211005,39.35138772,Greensburg,IN,12356
-86.103067,39.60834977,Greenwood,IN,58164
-87.42399186,41.52784316,Griffith,IN,16090
-87.50798679,41.60519184,Hammond,IN,78394
-87.45869751,41.54838439,Highland,IN,23594
-87.27275851,41.51387315,Hobart,IN,28694
-85.50674228,40.88102742,Huntington,IN,17124
-86.14634094,39.77709915,Indianapolis,IN,864712
-86.94006204,38.39358434,Jasper,IN,15819
-85.73672355,38.27830624,Jeffersonville,IN,47610
-86.13506901,40.46805563,Kokomo,IN,57517
-86.85923495,40.39904241,Lafayette,IN,74473
-87.26649595,41.57706609,Lake Station,IN,12604
-86.71365645,41.60767495,La Porte,IN,22556
-86.02151109,39.84020065,Lawrence,IN,49044
-86.45514654,40.03243192,Lebanon,IN,17216
-86.35464311,40.75259486,Logansport,IN,18397
-85.39697033,38.75809392,Madison,IN,12116
-85.65871388,40.55270845,Marion,IN,28890
-86.42068616,39.42288408,Martinsville,IN,11815
-87.350344,41.48583663,Merrillville,IN,36305
-86.90616016,41.7178145,Michigan City,IN,31473
-86.16644795,41.67344203,Mishawaka,IN,50193
-85.39438435,40.19908282,Muncie,IN,70163
-87.50392018,41.54696111,Munster,IN,23598
-85.82440236,38.30658748,New Albany,IN,37838
-85.36977547,39.91900905,New Castle,IN,17924
-85.02850881,41.06719928,New Haven,IN,15448
-86.00822673,40.03604062,Noblesville,IN,62065
-86.06552925,40.75742711,Peru,IN,11011
-86.39941544,39.70339639,Plainfield,IN,31631
-86.31876086,41.348233,Plymouth,IN,10167
-87.17971347,41.58535419,Portage,IN,37284
-86.9235045,40.42904175,Purdue University,IN,12365
-84.8906345,39.82082866,Richmond,IN,36283
-87.4725285,41.44553474,St. John,IN,17078
-87.46829375,41.49721631,Schererville,IN,29311
-85.8824035,38.95972166,Seymour,IN,19488
-85.76829127,39.52086559,Shelbyville,IN,19382
-86.26903703,41.6771051,South Bend,IN,102283
-86.24789551,39.79367558,Speedway,IN,12476
-87.41076044,39.46847797,Terre Haute,IN,61907
-87.05270501,41.4800087,Valparaiso,IN,33568
-87.51025609,38.67550526,Vincennes,IN,17841
-85.83102315,40.80457872,Wabash,IN,10420
-85.84809222,41.24428545,Warsaw,IN,15081
-87.17207733,38.65914692,Washington,IN,12045
-86.15458238,40.03074397,Westfield,IN,38406
-86.91359285,40.45565609,West Lafayette,IN,31635
-86.26087615,39.95123182,Zionsville,IN,28738
-93.47682995,41.64685625,Altoona,IA,18073
-93.62719783,42.02597644,Ames,IA,65221
-93.6032795,41.72791894,Ankeny,IA,57359
-90.49496682,41.52635255,Bettendorf,IA,36059
-93.87732096,42.05304492,Boone,IA,12900
-91.12489106,40.8071939,Burlington,IA,25603
