lat,lon,alt
26.82897794,-97.04031478,1596.42041
26.8199825,-97.04071585,1593.44751
26.81167461,-97.04100232,1602.318481
26.8023354,-97.0412888,1608.210449
26.79299619,-97.04157528,1603.487549
26.78428723,-97.04186176,1602.259155
26.77603664,-97.0385959,1599.217529
26.76876008,-97.03246525,1598.608398
26.76268672,-97.0277097,1603.641235
26.75283185,-97.02415737,1605.874268
26.74446667,-97.02662108,1601.411499
26.73793495,-97.03441331,1598.757935
26.73610148,-97.04306497,1599.383911
26.73919545,-97.05366469,1602.834595
26.75363399,-97.06145692,1602.418823
26.76113974,-97.0589932,1602.508545
26.76727039,-97.05206041,1602.212036
26.76881737,-97.04787782,1597.732422
26.76824441,-97.03601759,1602.458008
26.76555151,-97.03086097,1605.89856
26.76079596,-97.0264492,1607.581787
